date,requests,machine,human_visits
2026-02-17,25990,0,4
2026-02-18,43784,0,1
2026-02-19,43601,0,1
2026-02-20,43597,0,0
2026-02-21,43598,0,0
2026-02-22,43625,0,1
2026-02-23,43385,0,0
2026-02-24,43387,0,0
2026-02-25,43467,0,0
2026-02-26,43584,0,0
2026-02-27,43443,0,0
2026-02-28,43604,0,0
2026-03-01,43599,0,0
2026-03-02,43602,0,0
2026-03-03,43720,0,3
2026-03-04,44898,0,3
2026-03-05,45053,5,3
2026-03-06,43733,0,2
2026-03-07,43913,0,1
2026-03-08,44031,3,4
2026-03-09,43658,4,10
2026-03-10,43608,0,3
2026-03-11,44225,2,5
2026-03-12,43602,0,0
2026-03-13,43862,0,1
2026-03-14,43623,0,1
2026-03-15,43615,0,0
2026-03-16,43649,0,1
2026-03-17,58055,0,2
2026-03-18,43870,0,1
2026-03-19,53436,0,3
2026-03-20,71728,0,1
2026-03-21,71084,0,0
2026-03-22,43822,0,5
2026-03-23,43251,0,1
2026-03-24,43284,0,3
2026-03-25,43542,0,1
2026-03-26,50647,0,6
2026-03-27,40222,0,7
2026-03-28,1806,0,3
2026-03-29,452,0,5
2026-03-30,46,0,4
2026-03-31,11,0,2
2026-04-01,2,0,0
2026-04-02,38,0,1
2026-04-03,4485,0,3
2026-04-04,195,0,5
2026-04-05,2757,0,5
2026-04-06,339,1,5
2026-04-07,13,0,2
2026-04-08,21,0,1
2026-04-09,57,0,5
2026-04-10,65,0,3
2026-04-11,81,0,2
2026-04-12,59,0,2
2026-04-13,2,0,0
2026-04-14,3,0,1
2026-04-15,10427,0,5
2026-04-16,18873,0,2
2026-04-17,48,0,9
2026-04-18,2805,0,16
2026-04-19,7501,0,99
2026-04-20,545,0,39
2026-04-21,254,1,23
2026-04-22,226,0,24
2026-04-23,165,0,18
2026-04-24,372,0,25
2026-04-25,7209,0,16
2026-04-26,194,1,14
2026-04-27,391,18,18
2026-04-28,193,15,14
2026-04-29,165,6,12
2026-04-30,727,2,21
2026-05-01,218,1,20
2026-05-02,412,0,13
2026-05-03,131,0,11
2026-05-04,863,0,7
2026-05-05,2553,2,16
2026-05-06,2006,2,17
2026-05-07,917,6,13
2026-05-08,4006,3,12
2026-05-09,43,5,3
2026-05-10,40,1,4
2026-05-11,14003,2,4
2026-05-12,30658,2,8
2026-05-13,28364,6,12
2026-05-14,2352,4,15
2026-05-15,353,11,9
2026-05-16,171,12,9
2026-05-17,479,7,11
2026-05-18,268,27,18
2026-05-19,170,7,11
2026-05-20,91,6,10
2026-05-21,53,0,3
2026-05-22,91,0,14
2026-05-23,68,0,6
2026-05-24,94,0,2
2026-05-25,3445,0,4
2026-05-26,6654,0,2
2026-05-27,236,2,16
2026-05-28,99,0,14
2026-05-29,2837,0,14
2026-05-30,166,0,10
2026-05-31,233,1,10
2026-06-01,285,0,8
2026-06-02,2876,0,20
2026-06-03,481,3,23
2026-06-04,361,0,12
2026-06-05,375,1,18
2026-06-06,115,0,15
2026-06-07,13175,0,9
2026-06-08,5595,0,18
2026-06-09,23604,0,5
2026-06-10,11613,0,8
2026-06-11,261,0,15
2026-06-12,500,0,32
2026-06-13,1107,0,15
2026-06-14,12865,0,9
2026-06-15,148,0,16
2026-06-16,84,0,13
2026-06-17,154,0,14
2026-06-18,394,0,38
2026-06-19,290,0,34
2026-06-20,275,0,13
2026-06-21,302,0,10
2026-06-22,469,0,15
2026-06-23,304,0,32
2026-06-24,1379,0,26
2026-06-25,199,0,27
2026-06-26,174,0,32
2026-06-27,128,0,18
2026-06-28,554,0,27
2026-06-29,140,0,25
2026-06-30,160,0,37
2026-07-01,173,0,28
2026-07-02,213,0,27
2026-07-03,244,0,46
2026-07-04,237,0,26
2026-07-05,264,0,36
2026-07-06,196,0,28
2026-07-07,204,0,27
2026-07-08,13584,1,42
2026-07-09,21598,0,28
2026-07-10,355,0,20
2026-07-11,261,0,23
2026-07-12,455,0,26
2026-07-13,349,0,27
2026-07-14,526,0,32
2026-07-15,151,0,29
2026-07-16,260,0,27
2026-07-17,415,0,33
2026-07-18,195,0,28
2026-07-19,177,0,31
2026-07-20,181,0,19
2026-07-21,564,0,34
2026-07-22,357,0,27
2026-07-23,440,279,25
2026-07-24,1715,1439,28
2026-07-25,1871,1442,21
2026-07-26,1554,1428,24
2026-07-27,2132,1416,27
2026-07-28,945,591,27
2026-07-29,1719,1440,22
2026-07-30,1446,1156,26
2026-07-31,1945,1440,26
2026-08-01,1831,1440,41
2026-08-02,2083,1440,30
2026-08-03,2311,1440,28
2026-08-04,384,35,29
2026-08-05,262,0,24
2026-08-06,175,0,19
2026-08-07,560,0,55
2026-08-08,475,0,39
2026-08-09,1145,945,31
2026-08-10,2351,1439,33
2026-08-11,1928,1405,30
2026-08-12,2493,1323,36
2026-08-13,2414,1008,38
2026-08-14,1773,1359,35
2026-08-15,1711,1433,29
2026-08-16,2046,1439,30
2026-08-17,1707,1214,28
2026-08-18,1716,1376,38
2026-08-19,580,200,34
2026-08-20,7320,537,29
2026-08-21,1045,678,43
2026-08-22,386,85,37
2026-08-23,240,3,37
2026-08-24,1599,918,33
2026-08-25,1796,1440,37
2026-08-26,1827,1440,27
2026-08-27,1844,1435,60
2026-08-28,2508,1440,279
2026-08-29,4484,1440,319
2026-08-30,3191,1439,231
2026-08-31,5511,1431,252
2026-09-01,3555,1111,301
2026-09-02,2402,1011,301
2026-09-03,2042,960,181
2026-09-04,1779,880,122
2026-09-05,2520,1122,126
2026-09-06,3562,729,51
