date,requests,machine,bot_ua,probes,human_visits
2026-02-25,2351,0,2351,0,
2026-02-26,43589,0,43587,0,1
2026-02-27,43451,1,43445,0,
2026-02-28,43606,0,43606,0,
2026-03-01,43604,0,43604,0,
2026-03-02,43605,0,43605,0,
2026-03-03,43781,0,43614,5,1
2026-03-04,44906,0,43619,10,1
2026-03-05,44996,5,43555,60,2
2026-03-06,43733,0,43617,2,2
2026-03-07,43913,0,43609,2,
2026-03-08,44035,4,43604,4,1
2026-03-09,43658,5,43620,0,4
2026-03-10,43608,0,43600,0,1
2026-03-11,44229,2,43588,4,4
2026-03-12,43602,0,43582,0,
2026-03-13,43862,0,43588,0,1
2026-03-14,43623,0,43601,0,1
2026-03-15,43615,0,43614,0,
2026-03-16,43649,0,43607,0,1
2026-03-17,58055,0,43363,2,2
2026-03-18,43870,0,43500,0,1
2026-03-19,53436,0,43593,2,2
2026-03-20,71727,0,43400,1,1
2026-03-21,71085,0,43550,2,
2026-03-22,43822,0,43606,0,4
2026-03-23,43251,0,43242,0,1
2026-03-24,43284,0,43253,0,3
2026-03-25,43542,0,43538,0,1
2026-03-26,50699,0,43600,53,2
2026-03-27,40227,0,40124,12,5
2026-08-07,120,0,103,16,
2026-08-08,475,0,159,276,1
2026-08-09,1145,945,152,23,3
2026-08-10,2351,1439,146,460,1
2026-08-11,1936,1405,181,78,4
2026-08-12,2497,1324,171,53,2
2026-08-13,2414,1008,225,25,2
2026-08-14,1773,1359,162,229,3
2026-08-15,1711,1434,142,89,3
2026-08-16,2046,1440,170,420,1
2026-08-17,1707,1214,168,311,1
2026-08-18,1716,1376,163,173,
2026-08-19,580,200,190,164,3
2026-08-20,7320,537,216,82,1
2026-08-21,1045,678,223,124,3
2026-08-22,399,85,277,72,
2026-08-23,240,3,219,1,2
2026-08-24,1619,919,306,119,3
2026-08-25,1796,1440,203,102,1
2026-08-26,1851,1440,211,142,2
2026-08-27,1844,1435,329,67,3
2026-08-28,2520,1440,960,16,3
2026-08-29,4484,1440,2829,157,7
2026-08-30,3207,1440,1143,16,1
2026-08-31,5511,1433,3908,1,1
2026-09-01,3571,1113,2109,306,1
2026-09-02,2402,1011,1103,226,1
2026-09-03,2042,960,886,6,2
2026-09-04,1799,880,641,238,2
2026-09-05,2520,1122,889,427,2
2026-09-06,3570,737,2808,2595,
