ip,start,end,seconds,requests,pages,assets,distinct_pages,entry,ref,ua,path_list
134.209.175.181,2026-03-03T09:10:37,2026-03-03T09:10:41,3,2,1,1,1,/,https://www.petergrecian.co.uk/,Mozilla/5.0 (X11; Linux x86_64; rv:142.0) Gecko/20100101 Firefox/142.0,/|/favicon.ico
66.103.29.122,2026-03-04T13:59:30,2026-03-04T14:04:30,299,230,228,2,3,/contents,https://www.petergrecian.co.uk/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/contents|/favicon.ico|/springcam|/pi-fleet
212.161.46.97,2026-03-05T13:17:10,2026-03-05T15:03:27,6376,745,734,11,9,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/contents|/favicon.ico|/pi-fleet|/springcam|/gardencam|/gardencam/videos|/gardencam/display|/gardencam/fullres|/site-test|/lambda-stats|/lambda-stats/data
66.103.29.122,2026-03-05T17:24:07,2026-03-05T17:29:06,299,86,85,1,2,/contents,https://www.petergrecian.co.uk/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/contents|/favicon.ico|/pi-fleet
82.132.230.212,2026-03-06T09:52:24,2026-03-06T09:55:05,160,89,88,1,3,/,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/|/contents|/favicon.ico|/pi-fleet
66.103.29.122,2026-03-11T10:49:12,2026-03-11T11:08:21,1148,85,83,2,2,/contents,https://www.petergrecian.co.uk/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/contents|/favicon.ico|/pi-fleet
139.59.32.89,2026-03-17T11:25:17,2026-03-17T11:25:21,4,2,1,1,1,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/|/favicon.ico
66.103.29.122,2026-03-24T10:39:43,2026-03-24T10:40:39,56,25,24,1,2,/contents,https://www.petergrecian.co.uk/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/contents|/favicon.ico|/pi-fleet
82.132.229.113,2026-03-25T09:19:20,2026-03-25T09:19:55,35,4,3,1,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/pi-fleet
82.132.212.128,2026-03-26T21:56:11,2026-03-26T21:56:17,6,2,2,0,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/rcr
46.193.69.192,2026-08-08T07:30:29,2026-08-08T07:47:10,1000,7,6,1,6,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/favicon.ico|/astro/astrocam|/astro/astrocam/night/2026-08-07|/astro/eclipticam|/astro/eclipticam/night/2026-08-07
77.44.89.45,2026-08-09T17:56:44,2026-08-09T17:59:46,182,5,4,1,4,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/favicon.ico|/astro/astrocam|/astro/astrocam/night/2026-08-07
77.44.89.45,2026-08-14T12:55:51,2026-08-14T12:56:27,36,5,4,1,4,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/favicon.ico|/astro/astrocam|/astro/astrocam/night/2026-08-13
87.224.125.122,2026-08-15T17:01:56,2026-08-15T17:02:15,18,4,4,0,4,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/astro/astrocam|/astro/astrocam/night/2026-08-14
2.126.210.73,2026-08-19T23:29:50,2026-08-19T23:30:20,29,2,1,1,1,/skycam/clouds,https://www.petergrecian.co.uk/skycam/clouds,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/skycam/clouds|/favicon.ico
